student_id,gender,age,attendance,homework_completion,test_scores,participation,study_hours_per_week,parental_education,internet_access,school_support,extra_classes,travel_time_to_school,health_status,number_of_absences,performance
10001,Male,17,78,64,92,57,7,high_school,yes,yes,no,23,3,10,1
10002,Male,18,85,89,73,52,2,bachelor,yes,yes,yes,28,4,5,1
10003,Male,15,70,82,61,71,12,bachelor,yes,no,no,29,1,9,0
10004,Female,17,65,64,96,100,12,bachelor,no,yes,no,59,4,2,1
10005,Female,18,100,56,70,58,7,high_school,yes,no,no,22,4,13,0
10006,Male,15,58,75,51,69,15,high_school,yes,yes,yes,11,4,7,0
10007,Male,16,63,66,85,99,8,bachelor,yes,no,no,8,2,5,0
10008,Female,15,53,78,67,75,12,master,yes,no,no,38,2,3,0
10009,Male,17,89,70,65,94,18,high_school,yes,yes,yes,51,5,12,1
10010,Male,14,78,64,94,50,7,master,yes,no,no,13,1,11,1
10011,Male,16,100,66,57,84,3,high_school,yes,yes,no,37,3,4,0
10012,Male,15,88,90,77,56,9,bachelor,yes,no,yes,12,4,1,1
10013,Female,14,97,72,73,86,3,high_school,no,no,yes,48,3,2,1
10014,Female,14,84,86,96,63,3,master,yes,yes,yes,5,5,13,1
10015,Female,16,58,64,64,75,10,bachelor,yes,no,no,17,3,6,0
10016,Female,14,81,53,79,86,7,high_school,yes,no,no,49,3,3,0
10017,Male,18,81,56,100,71,2,high_school,yes,no,yes,46,5,20,1
10018,Female,17,77,93,93,69,11,master,yes,yes,no,59,4,6,1
10019,Female,14,50,76,62,90,3,high_school,yes,yes,no,43,3,8,0
10020,Female,18,82,100,91,93,15,bachelor,yes,no,no,58,1,19,1
10021,Female,14,98,61,88,51,3,master,no,yes,no,53,5,16,1
10022,Female,14,98,51,51,77,5,bachelor,yes,yes,yes,36,1,0,0
10023,Male,16,51,93,75,81,6,master,no,yes,no,36,4,10,0
10024,Male,16,66,87,73,54,20,bachelor,yes,no,no,38,3,15,0
10025,Male,14,58,55,65,78,3,high_school,yes,no,no,24,4,3,0
10026,Male,16,75,52,68,69,7,bachelor,yes,yes,no,56,1,0,0
10027,Female,15,89,50,60,77,18,high_school,yes,no,yes,27,2,2,0
10028,Female,17,65,75,97,98,2,master,no,no,yes,5,4,4,1
10029,Female,18,81,58,90,84,19,master,yes,no,no,52,3,19,1
10030,Male,14,73,60,98,57,4,master,yes,no,no,42,4,2,0
10031,Female,14,84,74,78,67,14,master,yes,no,no,22,2,2,1
10032,Male,18,90,85,82,53,1,high_school,yes,yes,no,18,5,15,1
10033,Male,17,57,56,52,66,1,high_school,yes,yes,yes,52,4,18,0
10034,Male,18,100,57,76,76,2,master,yes,yes,no,25,1,14,1
10035,Male,14,54,97,68,53,3,bachelor,yes,no,no,53,1,11,0
10036,Male,17,79,78,95,55,3,bachelor,no,yes,yes,45,5,16,1
10037,Female,18,80,84,82,70,1,high_school,yes,no,yes,7,2,9,1
10038,Male,15,52,89,95,73,18,high_school,yes,no,yes,36,2,9,1
10039,Male,15,75,66,89,82,9,high_school,yes,no,yes,47,5,9,1
10040,Male,15,84,99,74,73,13,master,yes,no,no,11,1,3,1
10041,Male,18,69,50,57,95,16,high_school,no,no,no,18,4,18,0
10042,Male,17,83,51,81,72,19,high_school,yes,yes,no,29,2,16,0
10043,Male,17,91,55,64,92,5,high_school,yes,yes,no,37,5,11,0
10044,Female,17,54,88,53,55,13,high_school,yes,no,no,36,4,14,0
10045,Female,16,89,65,62,99,10,high_school,yes,no,no,34,3,16,0
10046,Male,16,77,75,86,75,9,bachelor,yes,no,no,16,5,0,1
10047,Male,15,50,96,83,81,16,high_school,yes,no,yes,29,5,20,0
10048,Male,14,65,88,54,71,3,bachelor,yes,yes,no,16,2,15,0
10049,Male,16,86,71,78,63,5,bachelor,yes,yes,no,51,1,13,1
10050,Female,17,54,61,65,75,16,master,yes,no,yes,25,4,0,0
10051,Female,18,72,59,54,85,2,high_school,yes,no,no,56,2,18,0
10052,Male,15,81,50,54,94,4,high_school,yes,no,yes,20,2,16,0
10053,Male,17,81,76,69,73,12,bachelor,yes,yes,yes,54,3,0,0
10054,Male,14,100,92,86,61,3,high_school,yes,no,no,5,1,7,1
10055,Male,15,92,93,78,62,12,bachelor,yes,no,yes,35,2,18,1
10056,Male,15,84,72,66,75,8,high_school,no,no,yes,33,2,9,0
10057,Female,15,83,100,90,56,4,bachelor,yes,yes,no,57,2,12,1
10058,Female,16,78,85,74,70,4,bachelor,yes,no,yes,14,5,8,0
10059,Female,16,98,84,97,85,18,master,yes,yes,yes,53,5,11,1
10060,Female,14,62,72,74,84,9,high_school,yes,no,no,34,1,16,0
10061,Male,17,97,74,71,62,19,high_school,no,no,no,53,4,11,1
10062,Female,18,90,68,61,58,7,bachelor,yes,yes,no,32,4,18,0
10063,Male,15,96,65,54,84,12,master,yes,yes,yes,29,4,20,0
10064,Female,17,72,65,88,94,10,master,yes,no,yes,43,2,4,1
10065,Male,16,72,78,92,60,18,master,no,no,yes,51,4,8,1
10066,Female,15,93,66,87,56,14,bachelor,yes,no,no,17,2,8,1
10067,Male,15,76,51,54,78,5,high_school,yes,yes,no,42,3,7,0
10068,Female,18,50,71,66,56,13,high_school,no,no,no,8,4,5,0
10069,Male,17,80,68,93,88,10,high_school,yes,yes,yes,30,3,6,1
10070,Male,16,94,62,99,77,20,master,yes,no,no,32,5,8,1
10071,Female,14,52,62,77,98,1,master,yes,no,yes,42,5,5,0
10072,Female,15,93,94,81,94,15,high_school,yes,yes,no,25,5,10,1
10073,Female,17,86,85,84,68,20,bachelor,yes,yes,no,22,1,16,1
